#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
20600,41.20000000000439,-43830.41400500788,6701.159621838275,-37129.2543831696,300.3406928398408,27.0,0.9916318011950421
20700,41.40000000000463,-44049.00487061991,6876.547779485462,-37172.45709113445,308.2014518362381,27.0,0.9916318011950421
20800,41.600000000004876,-43829.6096231605,6540.544782170982,-37289.064840989515,293.1420623119499,27.0,0.9916318011950421
20900,41.80000000000512,-43707.56652947916,6544.025760370156,-37163.54076910901,293.29807701136,27.0,0.9916318011950421
21000,42.000000000005365,-43943.27975389017,6740.825785848033,-37202.45396804214,302.1184990485103,27.0,0.9916318011950421
21100,42.20000000000561,-43822.344933715,6567.572494369003,-37254.772439346,294.3534230712095,27.0,0.9916318011950421
21200,42.40000000000585,-44038.46937009348,6880.341330196989,-37158.12803989649,308.37147578930285,27.0,0.9916318011950421
21300,42.6000000000061,-43967.34307977213,6886.458795647078,-37080.88428412505,308.64565576939407,27.0,0.9916318011950421
21400,42.80000000000634,-43990.29673978342,6841.5216406815425,-37148.77509910188,306.63160790033317,27.0,0.9916318011950421
21500,43.00000000000659,-43897.032478537694,6663.805368608868,-37233.22710992883,298.6665046502514,27.0,0.9916318011950421
21600,43.20000000000683,-43938.74763795389,6626.179970769301,-37312.567667184594,296.9801639729329,27.0,0.9916318011950421
21700,43.400000000007076,-43686.627797331945,6506.527676192595,-37180.10012113935,291.6174424320325,27.0,0.9916318011950421
21800,43.60000000000732,-44009.48621865763,6785.870435439963,-37223.61578321767,304.13736474200607,27.0,0.9916318011950421
21900,43.800000000007564,-43986.836280074254,6656.580975296621,-37330.25530477763,298.3427130357856,27.0,0.9916318011950421
22000,44.00000000000781,-43851.89451905741,6615.889072330503,-37236.00544672691,296.5189340155117,27.0,0.9916318011950421
22100,44.20000000000805,-43669.74021073832,6540.769758519154,-37128.97045221916,293.15214557456346,27.0,0.9916318011950421
22200,44.4000000000083,-43943.54923364176,6839.334691918276,-37104.214541723486,306.533590580372,27.0,0.9916318011950421
22300,44.60000000000854,-43824.1779081489,6728.210773337198,-37095.967134811704,301.55310413009346,27.0,0.9916318011950421
22400,44.80000000000879,-43823.91160508646,6676.879181417333,-37147.03242366913,299.25246263641196,27.0,0.9916318011950421
22500,45.00000000000903,-43858.18338033213,6680.6464246444775,-37177.536955687654,299.42130750876055,27.0,0.9916318011950421
22600,45.200000000009275,-44010.587345328466,6776.27924115236,-37234.3081041761,303.7074949731808,27.0,0.9916318011950421
22700,45.40000000000952,-44183.27592870249,6855.710134639337,-37327.56579406315,307.2675250170887,27.0,0.9916318011950421
22800,45.600000000009764,-43832.51622125162,6435.694753527853,-37396.82146772377,288.4427666640251,27.0,0.9916318011950421
22900,45.80000000001001,-43997.47057839884,6746.997982608248,-37250.47259579059,302.3951320427858,27.0,0.9916318011950421
23000,46.00000000001025,-43780.55801221384,6558.987222232902,-37221.57078998094,293.9686379404133,27.0,0.9916318011950421
23100,46.2000000000105,-44067.124951567785,6699.124561507663,-37368.00039006012,300.2494830397228,27.0,0.9916318011950421
23200,46.40000000001074,-43908.25232717051,6629.120795696241,-37279.13153147427,297.11196942839456,27.0,0.9916318011950421
